Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
1,CALIB_OPEN,1,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,2,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,3,99,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,4,17,100,15,21,100,1,alwaysonboth
1,CALIB_OPEN,5,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,6,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,7,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,8,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,9,17,100,15,21,100,1,alwaysonboth
1,CALIB_OPEN,10,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,11,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,12,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,13,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,14,17,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,15,99,100,15,98,100,5,alwaysonboth
1,CALIB_OPEN,16,17,100,15,21,100,1,alwaysonboth
2,CALIB_CLOSED,1,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,2,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,3,99,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,4,99,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,5,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,6,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,7,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,8,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,9,17,100,15,21,100,1,alwaysonboth
2,CALIB_CLOSED,10,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,11,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,12,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,13,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,14,17,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,15,99,100,15,98,100,5,alwaysonboth
2,CALIB_CLOSED,16,99,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,1,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,2,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,3,99,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,4,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,5,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,6,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,7,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,8,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,9,17,100,15,21,100,1,alwaysonboth
3,CALIB_CLOSED_4C,10,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,11,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,12,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,13,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,14,17,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,15,99,100,15,98,100,5,alwaysonboth
3,CALIB_CLOSED_4C,16,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,1,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,2,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,3,99,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,4,17,100,15,21,100,1,alwaysonboth
4,CALIB_CLOSED_4H,5,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,6,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,7,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,8,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,9,17,100,15,21,100,1,alwaysonboth
4,CALIB_CLOSED_4H,10,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,11,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,12,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,13,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,14,17,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,15,99,100,15,98,100,5,alwaysonboth
4,CALIB_CLOSED_4H,16,99,100,15,21,100,1,alwaysonboth
