Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
13,SLOT21_23,1,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,2,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,3,99,100,15,98,100,5,alwaysonboth
13,SLOT21_23,4,17,100,15,21,100,1,alwaysonboth
13,SLOT21_23,5,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,6,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,7,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,8,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,9,17,100,15,21,22.9,1,alwaysonboth
13,SLOT21_23,10,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,11,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,12,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,13,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,14,17,100,15,98,100,5,alwaysonboth
13,SLOT21_23,15,99,100,15,98,100,5,alwaysonboth
13,SLOT21_23,16,17,100,15,21,22.9,1,alwaysonboth
14,SLOT22-28,1,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,2,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,3,99,100,15,98,100,5,alwaysonboth
14,SLOT22-28,4,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,5,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,6,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,7,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,8,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,9,17,100,15,22,27.9,1,alwaysonboth
14,SLOT22-28,10,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,11,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,12,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,13,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,14,17,100,15,98,100,5,alwaysonboth
14,SLOT22-28,15,99,100,15,98,100,5,alwaysonboth
14,SLOT22-28,16,17,100,15,22,27.9,1,alwaysonboth
15,2SLOT22_28,1,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,2,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,3,99,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,4,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,5,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,6,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,7,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,8,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,9,17,100,15,22,27.9,2,alwaysonboth
15,2SLOT22_28,10,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,11,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,12,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,13,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,14,17,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,15,99,100,15,98,100,5,alwaysonboth
15,2SLOT22_28,16,17,100,15,22,27.9,2,alwaysonboth
