Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
16,SLOT22-28,1,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,2,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,3,99,100,15,98,100,5,alwaysonboth
16,SLOT22-28,4,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,5,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,6,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,7,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,8,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,9,17,100,15,22,27.9,1,alwaysonboth
16,SLOT22-28,10,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,11,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,12,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,13,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,14,17,100,15,98,100,5,alwaysonboth
16,SLOT22-28,15,99,100,15,98,100,5,alwaysonboth
16,SLOT22-28,16,17,100,15,22,27.9,5,alwaysonboth
17,2SLOT22_28,1,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,2,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,3,99,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,4,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,5,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,6,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,7,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,8,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,9,17,100,15,22,27.9,2,alwaysonboth
17,2SLOT22_28,10,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,11,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,12,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,13,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,14,17,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,15,99,100,15,98,100,5,alwaysonboth
17,2SLOT22_28,16,17,100,15,22,27.9,2,alwaysonboth
