Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
161,SLOT22-28SensA,1,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,2,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,3,99,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,4,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,5,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,6,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,7,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,8,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,9,17,100,15,22,27.9,1,alwaysonboth
161,SLOT22-28SensA,10,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,11,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,12,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,13,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,14,17,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,15,99,100,15,98,100,5,alwaysonboth
161,SLOT22-28SensA,16,17,100,15,22,27.9,5,alwaysonboth
211,Sept_OpensensA,1,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,2,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,3,99,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,4,17,100,15,21,100,1,alwaysonboth
211,Sept_OpensensA,5,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,6,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,7,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,8,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,9,17,100,15,21,100,1,alwaysonboth
211,Sept_OpensensA,10,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,11,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,12,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,13,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,14,17,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,15,99,100,15,98,100,5,alwaysonboth
211,Sept_OpensensA,16,17,100,15,21,100,1,alwaysonboth
