Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
21,CALIB_OPEN_OS,1,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,2,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,3,99,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,4,17,100,15,21,100,1,alwaysonboth
21,CALIB_OPEN_OS,5,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,6,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,7,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,8,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,9,17,100,15,21,100,1,alwaysonboth
21,CALIB_OPEN_OS,10,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,11,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,12,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,13,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,14,17,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,15,99,100,15,98,100,5,alwaysonboth
21,CALIB_OPEN_OS,16,17,100,15,21,100,1,alwaysonboth
23,CALIB_CLOSED_4C_OS,1,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,2,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,3,99,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,4,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,5,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,6,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,7,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,8,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,9,17,100,15,21,100,1,alwaysonboth
23,CALIB_CLOSED_4C_OS,10,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,11,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,12,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,13,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,14,17,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,15,99,100,15,98,100,5,alwaysonboth
23,CALIB_CLOSED_4C_OS,16,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,1,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,2,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,3,99,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,4,17,100,15,21,100,1,alwaysonboth
25,1Cod_20_OS,5,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,6,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,7,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,8,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,9,17,100,15,20,100,1,alwaysonboth
25,1Cod_20_OS,10,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,11,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,12,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,13,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,14,17,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,15,99,100,15,98,100,5,alwaysonboth
25,1Cod_20_OS,16,17,100,15,20,100,1,alwaysonboth
27,2Cod_21_OS,1,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,2,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,3,99,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,4,17,100,15,21,100,1,alwaysonboth
27,2Cod_21_OS,5,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,6,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,7,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,8,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,9,17,100,15,21,100,2,alwaysonboth
27,2Cod_21_OS,10,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,11,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,12,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,13,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,14,17,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,15,99,100,15,98,100,5,alwaysonboth
27,2Cod_21_OS,16,17,100,15,21,100,2,alwaysonboth
