Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
1,CALIBRATION,1,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,2,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,3,99,100,12,99,99,9,alwaysonboth
1,CALIBRATION,4,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,5,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,6,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,7,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,8,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,9,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,10,99,100,12,99,99,9,alwaysonboth
1,CALIBRATION,11,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,12,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,13,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,14,18,100,12,99,99,9,alwaysonboth
1,CALIBRATION,15,99,100,12,99,99,9,alwaysonboth
1,CALIBRATION,16,18,100,12,99,99,9,alwaysonboth
2,SLOTTEST,1,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,2,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,3,99,100,12,18,20,9,stopfishingboth
2,SLOTTEST,4,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,5,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,6,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,7,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,8,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,9,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,10,99,100,12,18,20,9,stopfishingboth
2,SLOTTEST,11,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,12,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,13,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,14,18,100,12,18,20,9,stopfishingboth
2,SLOTTEST,15,99,100,12,18,20,9,stopfishingboth
2,SLOTTEST,16,18,100,12,18,20,9,stopfishingboth
3,SLOTTEST2,1,18,100,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,2,18,100,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,3,99,100,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,4,18,100,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,5,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,6,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,7,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,8,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,9,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,10,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,11,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,12,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,13,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,14,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,15,18,21,12,99,99,9,alwaysonhaddock
3,SLOTTEST2,16,18,21,12,99,99,9,alwaysonhaddock
4,ALWAYSTEST2,1,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,2,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,3,99,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,4,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,5,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,6,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,7,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,8,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,9,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,10,99,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,11,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,12,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,13,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,14,18,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,15,99,100,12,99,99,9,alwaysoncod
4,ALWAYSTEST2,16,18,100,12,99,99,9,alwaysoncod
