Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
80,Council,1,17,100,20,98,100,5,alwaysonboth
80,Council,2,17,100,20,98,100,5,alwaysonboth
80,Council,3,99,100,20,98,100,5,alwaysonboth
80,Council,4,17,100,20,21,100,5,alwaysonboth
80,Council,5,17,100,20,98,100,5,alwaysonboth
80,Council,6,17,100,20,98,100,5,alwaysonboth
80,Council,7,17,100,20,98,100,5,alwaysonboth
80,Council,8,17,100,20,98,100,5,alwaysonboth
80,Council,9,17,100,20,22,100,1,alwaysonboth
80,Council,10,17,100,20,98,100,5,alwaysonboth
80,Council,11,17,100,20,98,100,5,alwaysonboth
80,Council,12,17,100,20,98,100,5,alwaysonboth
80,Council,13,17,100,20,98,100,5,alwaysonboth
80,Council,14,17,100,20,98,100,5,alwaysonboth
80,Council,15,99,100,20,98,100,5,alwaysonboth
80,Council,16,17,100,20,22,100,1,alwaysonboth
81,Council April,1,17,100,20,98,100,5,alwaysonboth
81,Council April,2,17,100,20,98,100,5,alwaysonboth
81,Council April,3,99,100,20,98,100,5,alwaysonboth
81,Council April,4,17,100,20,21,100,5,alwaysonboth
81,Council April,5,17,100,20,98,100,5,alwaysonboth
81,Council April,6,17,100,20,98,100,5,alwaysonboth
81,Council April,7,17,100,20,98,100,5,alwaysonboth
81,Council April,8,17,100,20,98,100,5,alwaysonboth
81,Council April,9,17,100,20,22,100,1,alwaysonboth
81,Council April,10,17,100,20,98,100,5,alwaysonboth
81,Council April,11,17,100,20,98,100,5,alwaysonboth
81,Council April,12,17,100,20,98,100,5,alwaysonboth
81,Council April,13,17,100,20,98,100,5,alwaysonboth
81,Council April,14,17,100,20,98,100,5,alwaysonboth
81,Council April,15,99,100,20,98,100,5,alwaysonboth
81,Council April,16,17,100,20,98,100,5,alwaysonboth
