Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
0,StatusQuoA,1,17,100,15,98,100,5,alwaysonboth
0,StatusQuoA,2,17,100,15,98,100,5,alwaysonboth
0,StatusQuoA,3,99,100,15,98,100,5,alwaysonboth
0,StatusQuoA,4,17,100,15,98,100,5,alwaysonboth
0,StatusQuoA,5,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,6,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,7,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,8,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,9,17,100,20,22,100,1,alwaysonboth
0,StatusQuoA,10,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,11,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,12,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,13,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,14,17,100,20,98,100,5,alwaysonboth
0,StatusQuoA,15,99,100,20,98,100,5,alwaysonboth
0,StatusQuoA,16,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,1,17,100,15,98,100,5,alwaysonboth
1,StatusQuoB,2,17,100,15,98,100,5,alwaysonboth
1,StatusQuoB,3,99,100,15,98,100,5,alwaysonboth
1,StatusQuoB,4,17,100,15,21,100,1,alwaysonboth
1,StatusQuoB,5,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,6,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,7,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,8,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,9,17,100,20,22,100,1,alwaysonboth
1,StatusQuoB,10,17,100,20,22,100,1,alwaysonboth
1,StatusQuoB,11,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,12,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,13,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,14,17,100,20,98,100,5,alwaysonboth
1,StatusQuoB,15,99,100,20,98,100,5,alwaysonboth
1,StatusQuoB,16,17,100,20,22,100,1,alwaysonboth
