Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
217,CMTE2_17,1,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,2,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,3,99,100,15,98,100,5,alwaysonboth
217,CMTE2_17,4,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,5,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,6,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,7,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,8,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,9,17,100,15,22,100,1,alwaysonboth
217,CMTE2_17,10,17,100,15,22,100,1,alwaysonboth
217,CMTE2_17,11,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,12,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,13,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,14,17,100,15,98,100,5,alwaysonboth
217,CMTE2_17,15,99,100,15,98,100,5,alwaysonboth
217,CMTE2_17,16,99,100,15,98,100,5,alwaysonboth
218,CMTE2_18,1,17,100,15,98,100,5,alwaysonboth
218,CMTE2_18,2,17,100,15,98,100,5,alwaysonboth
218,CMTE2_18,3,99,100,15,98,100,5,alwaysonboth
218,CMTE2_18,4,17,100,15,98,100,5,alwaysonboth
218,CMTE2_18,5,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,6,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,7,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,8,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,9,18,100,15,22,100,1,alwaysonboth
218,CMTE2_18,10,18,100,15,22,100,1,alwaysonboth
218,CMTE2_18,11,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,12,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,13,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,14,18,100,15,98,100,5,alwaysonboth
218,CMTE2_18,15,99,100,15,98,100,5,alwaysonboth
218,CMTE2_18,16,99,100,15,98,100,5,alwaysonboth
