Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
18,RAP18,1,17,100,15,98,100,5,alwaysonboth
18,RAP18,2,17,100,15,98,100,5,alwaysonboth
18,RAP18,3,99,100,15,98,100,5,alwaysonboth
18,RAP18,4,17,100,15,98,100,5,alwaysonboth
18,RAP18,5,18,100,15,98,100,5,alwaysonboth
18,RAP18,6,18,100,15,98,100,5,alwaysonboth
18,RAP18,7,18,100,15,98,100,5,alwaysonboth
18,RAP18,8,18,100,15,98,100,5,alwaysonboth
18,RAP18,9,18,100,15,22,100,1,alwaysonboth
18,RAP18,10,18,100,15,22,100,1,alwaysonboth
18,RAP18,11,18,100,15,98,100,5,alwaysonboth
18,RAP18,12,18,100,15,98,100,5,alwaysonboth
18,RAP18,13,18,100,15,98,100,5,alwaysonboth
18,RAP18,14,18,100,15,98,100,5,alwaysonboth
18,RAP18,15,99,100,15,98,100,5,alwaysonboth
18,RAP18,16,18,100,15,98,100,5,alwaysonboth
19,RAP19,1,17,100,15,98,100,5,alwaysonboth
19,RAP19,2,17,100,15,98,100,5,alwaysonboth
19,RAP19,3,99,100,15,98,100,5,alwaysonboth
19,RAP19,4,17,100,15,98,100,5,alwaysonboth
19,RAP19,5,19,100,15,98,100,5,alwaysonboth
19,RAP19,6,19,100,15,98,100,5,alwaysonboth
19,RAP19,7,19,100,15,98,100,5,alwaysonboth
19,RAP19,8,19,100,15,98,100,5,alwaysonboth
19,RAP19,9,19,100,15,22,100,1,alwaysonboth
19,RAP19,10,19,100,15,22,100,1,alwaysonboth
19,RAP19,11,19,100,15,98,100,5,alwaysonboth
19,RAP19,12,19,100,15,98,100,5,alwaysonboth
19,RAP19,13,19,100,15,98,100,5,alwaysonboth
19,RAP19,14,19,100,15,98,100,5,alwaysonboth
19,RAP19,15,99,100,15,98,100,5,alwaysonboth
19,RAP19,16,19,100,15,98,100,5,alwaysonboth
20,RAP20,1,17,100,15,98,100,5,alwaysonboth
20,RAP20,2,17,100,15,98,100,5,alwaysonboth
20,RAP20,3,99,100,15,98,100,5,alwaysonboth
20,RAP20,4,17,100,15,98,100,5,alwaysonboth
20,RAP20,5,20,100,15,98,100,5,alwaysonboth
20,RAP20,6,20,100,15,98,100,5,alwaysonboth
20,RAP20,7,20,100,15,98,100,5,alwaysonboth
20,RAP20,8,20,100,15,98,100,5,alwaysonboth
20,RAP20,9,20,100,15,22,100,1,alwaysonboth
20,RAP20,10,20,100,15,22,100,1,alwaysonboth
20,RAP20,11,20,100,15,98,100,5,alwaysonboth
20,RAP20,12,20,100,15,98,100,5,alwaysonboth
20,RAP20,13,20,100,15,98,100,5,alwaysonboth
20,RAP20,14,20,100,15,98,100,5,alwaysonboth
20,RAP20,15,99,100,15,98,100,5,alwaysonboth
20,RAP20,16,20,100,15,98,100,5,alwaysonboth
