Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
1,StatusQuoA,1,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,2,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,3,99,100,20,98,100,5,alwaysonboth
1,StatusQuoA,4,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,5,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,6,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,7,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,8,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,9,17,100,20,22,100,1,alwaysonboth
1,StatusQuoA,10,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,11,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,12,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,13,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,14,17,100,20,98,100,5,alwaysonboth
1,StatusQuoA,15,99,100,20,98,100,5,alwaysonboth
1,StatusQuoA,16,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,1,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,2,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,3,99,100,20,98,100,5,alwaysonboth
2,StatusQuoB,4,17,100,20,22,100,1,alwaysonboth
2,StatusQuoB,5,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,6,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,7,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,8,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,9,17,100,20,22,100,1,alwaysonboth
2,StatusQuoB,10,17,100,20,22,100,1,alwaysonboth
2,StatusQuoB,11,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,12,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,13,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,14,17,100,20,98,100,5,alwaysonboth
2,StatusQuoB,15,99,100,20,98,100,5,alwaysonboth
2,StatusQuoB,16,17,100,20,22,100,1,alwaysonboth
