Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
3,StatusQuoA,1,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,2,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,3,99,100,20,98,100,5,alwaysonboth
3,StatusQuoA,4,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,5,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,6,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,7,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,8,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,9,17,100,20,21,100,1,alwaysonboth
3,StatusQuoA,10,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,11,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,12,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,13,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,14,17,100,20,98,100,5,alwaysonboth
3,StatusQuoA,15,99,100,20,98,100,5,alwaysonboth
3,StatusQuoA,16,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,1,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,2,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,3,99,100,20,98,100,5,alwaysonboth
4,StatusQuoB,4,17,100,20,21,100,1,alwaysonboth
4,StatusQuoB,5,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,6,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,7,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,8,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,9,17,100,20,21,100,1,alwaysonboth
4,StatusQuoB,10,17,100,20,21,100,1,alwaysonboth
4,StatusQuoB,11,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,12,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,13,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,14,17,100,20,98,100,5,alwaysonboth
4,StatusQuoB,15,99,100,20,98,100,5,alwaysonboth
4,StatusQuoB,16,17,100,20,21,100,1,alwaysonboth
