Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
5,S18_P15,1,18,100,15,98,100,5,alwaysonboth
5,S18_P15,2,18,100,15,98,100,5,alwaysonboth
5,S18_P15,3,99,100,15,98,100,5,alwaysonboth
5,S18_P15,4,18,100,15,98,100,5,alwaysonboth
5,S18_P15,5,18,100,15,98,100,5,alwaysonboth
5,S18_P15,6,18,100,15,98,100,5,alwaysonboth
5,S18_P15,7,18,100,15,98,100,5,alwaysonboth
5,S18_P15,8,18,100,15,98,100,5,alwaysonboth
5,S18_P15,9,18,100,15,22,100,1,alwaysonboth
5,S18_P15,10,18,100,15,22,100,1,alwaysonboth
5,S18_P15,11,18,100,15,98,100,5,alwaysonboth
5,S18_P15,12,18,100,15,98,100,5,alwaysonboth
5,S18_P15,13,18,100,15,98,100,5,alwaysonboth
5,S18_P15,14,18,100,15,98,100,5,alwaysonboth
5,S18_P15,15,99,100,15,98,100,5,alwaysonboth
5,S18_P15,16,18,100,15,98,100,5,alwaysonboth
6,S18_P15,1,18,100,15,98,100,5,alwaysonboth
6,S18_P15,2,18,100,15,98,100,5,alwaysonboth
6,S18_P15,3,99,100,15,98,100,5,alwaysonboth
6,S18_P15,4,18,100,15,98,100,5,alwaysonboth
6,S18_P15,5,18,100,15,98,100,5,alwaysonboth
6,S18_P15,6,18,100,15,98,100,5,alwaysonboth
6,S18_P15,7,18,100,15,98,100,5,alwaysonboth
6,S18_P15,8,18,100,15,98,100,5,alwaysonboth
6,S18_P15,9,18,100,15,22,100,1,alwaysonboth
6,S18_P15,10,18,100,15,22,100,1,alwaysonboth
6,S18_P15,11,18,100,15,98,100,5,alwaysonboth
6,S18_P15,12,18,100,15,98,100,5,alwaysonboth
6,S18_P15,13,18,100,15,98,100,5,alwaysonboth
6,S18_P15,14,18,100,15,98,100,5,alwaysonboth
6,S18_P15,15,99,100,15,98,100,5,alwaysonboth
6,S18_P15,16,18,100,15,98,100,5,alwaysonboth
7,S17_P10,1,17,100,10,98,100,5,alwaysonboth
7,S17_P10,2,17,100,10,98,100,5,alwaysonboth
7,S17_P10,3,99,100,10,98,100,5,alwaysonboth
7,S17_P10,4,17,100,10,98,100,5,alwaysonboth
7,S17_P10,5,17,100,10,98,100,5,alwaysonboth
7,S17_P10,6,17,100,10,98,100,5,alwaysonboth
7,S17_P10,7,17,100,10,98,100,5,alwaysonboth
7,S17_P10,8,17,100,10,98,100,5,alwaysonboth
7,S17_P10,9,17,100,10,22,100,1,alwaysonboth
7,S17_P10,10,17,100,10,22,100,1,alwaysonboth
7,S17_P10,11,17,100,10,98,100,5,alwaysonboth
7,S17_P10,12,17,100,10,98,100,5,alwaysonboth
7,S17_P10,13,17,100,10,98,100,5,alwaysonboth
7,S17_P10,14,17,100,10,98,100,5,alwaysonboth
7,S17_P10,15,99,100,10,98,100,5,alwaysonboth
7,S17_P10,16,17,100,10,98,100,5,alwaysonboth
8,S17_P10,1,17,100,10,98,100,5,alwaysonboth
8,S17_P10,2,17,100,10,98,100,5,alwaysonboth
8,S17_P10,3,99,100,10,98,100,5,alwaysonboth
8,S17_P10,4,17,100,10,98,100,5,alwaysonboth
8,S17_P10,5,17,100,10,98,100,5,alwaysonboth
8,S17_P10,6,17,100,10,98,100,5,alwaysonboth
8,S17_P10,7,17,100,10,98,100,5,alwaysonboth
8,S17_P10,8,17,100,10,98,100,5,alwaysonboth
8,S17_P10,9,17,100,10,22,100,1,alwaysonboth
8,S17_P10,10,17,100,10,22,100,1,alwaysonboth
8,S17_P10,11,17,100,10,98,100,5,alwaysonboth
8,S17_P10,12,17,100,10,98,100,5,alwaysonboth
8,S17_P10,13,17,100,10,98,100,5,alwaysonboth
8,S17_P10,14,17,100,10,98,100,5,alwaysonboth
8,S17_P10,15,99,100,10,98,100,5,alwaysonboth
8,S17_P10,16,17,100,10,98,100,5,alwaysonboth
